W1,W2,W3,W4,W5,W6,W7,W8,W9
Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman,Achane Fighter of the Nightman
5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-3-0 | 5th,5-4-0 | 6th
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
93.1,99.7,144.1,62.15,88.1,90.65,113.4,77.35,116.7
vs,vs,vs,vs,vs,vs,vs,vs,vs
111.4,65.3,100.35,65.35,49,96.9,65.9,70.5,146.1
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
Valyrian Steelers,Chase is on the Case,WikiFeet,ChainHangLow,The Joker,Animaniacs,Last Schott,Les Cousins Dangereux,Desacrator
4-4-0 | 7th,4-4-0 | 9th,3-5-0 | 11th,5-3-0 | 6th,3-5-0 | 13th,5-3-0 | 3rd,3-5-0 | 12th,2-6-0 | 14th,5-4-0 | 7th
ChainHangLow,ChainHangLow,ChainHangLow,Animaniacs,ChainHangLow,ChainHangLow,ChainHangLow,ChainHangLow,ChainHangLow
5-3-0 | 6th,5-3-0 | 6th,5-3-0 | 6th,5-3-0 | 3rd,5-3-0 | 6th,5-3-0 | 6th,5-3-0 | 6th,5-3-0 | 6th,6-3-0 | 4th
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
85.1,79.5,102.9,93.85,68.3,89.7,108.85,115.45,121.8
vs,vs,vs,vs,vs,vs,vs,vs,vs
93.15,112.95,127.25,91.25,62.65,71.15,53.15,100.85,100
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
Desacrator,WikiFeet,Payday Drinks,Chase is on the Case,Oh You Went,The Joker,CP,Animaniacs,ManBearPig
4-4-0 | 8th,3-5-0 | 11th,5-3-0 | 1st,4-4-0 | 9th,5-3-0 | 4th,3-5-0 | 13th,3-5-0 | 10th,5-3-0 | 3rd,5-4-0 | 5th
Animaniacs,Animaniacs,Animaniacs,Last Schott,Animaniacs,Last Schott,Animaniacs,Last Schott,Animaniacs
5-3-0 | 3rd,5-3-0 | 3rd,5-3-0 | 3rd,3-5-0 | 12th,5-3-0 | 3rd,3-5-0 | 12th,5-3-0 | 3rd,3-5-0 | 12th,6-3-0 | 2nd
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
71.3,91.85,107.95,96.3,153.05,72.45,100.85,73.8,78.75
vs,vs,vs,vs,vs,vs,vs,vs,vs
81.35,120.95,89.25,84.15,69.4,99.65,57.15,100.55,69.95
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
CP,ManBearPig,Valyrian Steelers,Valyrian Steelers,WikiFeet,WikiFeet,The Joker,The Joker,Last Schott
3-5-0 | 10th,5-3-0 | 2nd,4-4-0 | 7th,4-4-0 | 7th,3-5-0 | 11th,3-5-0 | 11th,3-5-0 | 13th,3-5-0 | 13th,3-6-0 | 13th
Last Schott,Last Schott,Last Schott,CP,Last Schott,Chase is on the Case,Chase is on the Case,Chase is on the Case,Chase is on the Case
3-5-0 | 12th,3-5-0 | 12th,3-5-0 | 12th,3-5-0 | 10th,3-5-0 | 12th,4-4-0 | 9th,4-4-0 | 9th,4-4-0 | 9th,4-5-0 | 9th
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
99.65,101.4,99.85,108.35,117.6,103.85,89.5,90.3,45.65
vs,vs,vs,vs,vs,vs,vs,vs,vs
110.7,83.65,130.35,148,93.2,43.7,82.35,122.5,59.25
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
Oh You Went,CP,ManBearPig,Desacrator,Chase is on the Case,Les Cousins Dangereux,Desacrator,Payday Drinks,Oh You Went
5-3-0 | 4th,3-5-0 | 10th,5-3-0 | 2nd,4-4-0 | 8th,4-4-0 | 9th,2-6-0 | 14th,4-4-0 | 8th,5-3-0 | 1st,6-3-0 | 3rd
Chase is on the Case,Desacrator,Chase is on the Case,Oh You Went,CP,CP,Oh You Went,CP,CP
4-4-0 | 9th,4-4-0 | 8th,4-4-0 | 9th,5-3-0 | 4th,3-5-0 | 10th,3-5-0 | 10th,5-3-0 | 4th,3-5-0 | 10th,3-6-0 | 11th
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
71.75,58.4,88.3,114.45,120.8,83.25,124.3,113.2,66.6
vs,vs,vs,vs,vs,vs,vs,vs,vs
69.15,93.35,70.45,154.1,107.05,92.2,65.7,115.8,101.85
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
WikiFeet,Payday Drinks,The Joker,Payday Drinks,Payday Drinks,Oh You Went,ManBearPig,ManBearPig,Valyrian Steelers
3-5-0 | 11th,5-3-0 | 1st,3-5-0 | 13th,5-3-0 | 1st,5-3-0 | 1st,5-3-0 | 4th,5-3-0 | 2nd,5-3-0 | 2nd,5-4-0 | 8th
Les Cousins Dangereux,Oh You Went,CP,Les Cousins Dangereux,Desacrator,Desacrator,Les Cousins Dangereux,Desacrator,Les Cousins Dangereux
2-6-0 | 14th,5-3-0 | 4th,3-5-0 | 10th,2-6-0 | 14th,4-4-0 | 8th,4-4-0 | 8th,2-6-0 | 14th,4-4-0 | 8th,2-7-0 | 14th
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
63.4,75.05,100.35,90.15,65.1,75.75,45.75,134,61.9
vs,vs,vs,vs,vs,vs,vs,vs,vs
74.75,71.85,72.05,57.3,127.2,58.25,128.55,72.85,103.65
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
Payday Drinks,Les Cousins Dangereux,Les Cousins Dangereux,ManBearPig,ManBearPig,Valyrian Steelers,WikiFeet,WikiFeet,The Joker
5-3-0 | 1st,2-6-0 | 14th,2-6-0 | 14th,5-3-0 | 2nd,5-3-0 | 2nd,4-4-0 | 7th,3-5-0 | 11th,3-5-0 | 11th,4-5-0 | 10th
ManBearPig,The Joker,Desacrator,The Joker,Les Cousins Dangereux,ManBearPig,Payday Drinks,Oh You Went,Payday Drinks
5-3-0 | 2nd,3-5-0 | 13th,4-4-0 | 8th,3-5-0 | 13th,2-6-0 | 14th,5-3-0 | 2nd,5-3-0 | 1st,5-3-0 | 4th,6-3-0 | 1st
 logo, logo, logo, logo, logo, logo, logo, logo, logo
 , , , , , , , , 
72.65,105.25,55.1,80.2,92.7,143.1,92.05,83.2,83
vs,vs,vs,vs,vs,vs,vs,vs,vs
82.8,108.65,121.3,74.5,79.9,72.95,95.35,107.2,75.85
 , , , , , , , , 
logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo ,logo 
The Joker,Valyrian Steelers,Oh You Went,WikiFeet,Valyrian Steelers,Payday Drinks,Valyrian Steelers,Valyrian Steelers,WikiFeet
3-5-0 | 13th,4-4-0 | 7th,5-3-0 | 4th,3-5-0 | 11th,4-4-0 | 7th,5-3-0 | 1st,4-4-0 | 7th,4-4-0 | 7th,3-6-0 | 12th
